220928, 과실류, 포도, 거봉, 1, 0, 500.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 590.0
220928, 수실류, 대추, 기타대추, 1, 0, 1000.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 325.0
220928, 근채류, 토란, 토란, 1, 0, 216.0
220928, 서류, 고구마, 기타, 1, 0, 113.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 610.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 610.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 600.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 810.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 810.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 610.0
220928, 과실류, 사과, 기타사과, 1, 0, 306.0
220928, 서류, 고구마, 기타, 1, 0, 105.0
220928, 과실류, 떫은감, 연시, 1, 0, 90.0
220928, 과실류, 단감, 상서, 1, 0, 160.0
220928, 농림가공, 절임식품, 기타, 1, 0, 350.0
220928, 조미채소류, 풋고추, 애기초, 1, 0, 487.5
220928, 서류, 고구마, 호박고구마, 1, 0, 120.0
220928, 과일과채류, 메론, 네트계, 1, 0, 312.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 525.0
220928, 수실류, 떫은감, 약시, 1, 0, 200.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 525.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 120.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 507.5
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 450.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 325.0
220928, 엽경채류, 상추, 청상추, 1, 0, 175.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 450.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 500.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 280.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 250.0
220928, 산채류, 도라지, 기타도라지, 1, 0, 530.0
220928, 과실류, 단감, 송본, 1, 0, 250.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 313.63635
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 237.5
220928, 과채류, 호박, 애호박, 1, 0, 128.75
220928, 수실류, 대추, 기타대추, 1, 0, 900.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 70.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 225.0
220928, 버섯류, 느타리버섯, 애느타리, 1, 0, 305.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 320.0
220928, 조미채소류, 풋고추, 청초, 1, 0, 166.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 460.55045
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 262.5
220928, 과실류, 복숭아, 장호원황도, 1, 0, 325.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 220.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 786.6667
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 수실류, 대추, 대추, 1, 0, 550.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 520.0
220928, 과채류, 호박, 단호박, 1, 0, 266.66666
220928, 과실류, 무화과, 무화과, 1, 0, 375.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 240.0
220928, 과채류, 호박, 늙은호박, 1, 0, 48.42105
220928, 신선 해조류, 꼬시래기, 꼬시래기, 1, 0, 131.25
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 400.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 280.0
220928, 과채류, 호박, 애호박, 1, 0, 150.0
220928, 과일과채류, 수박, 수박, 1, 0, 176.92308
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 283.33334
220928, 엽경채류, 상추, 포기찹, 1, 0, 175.0
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 295.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 240.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 725.0
220928, 과채류, 오이, 백다다기, 1, 0, 60.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 375.0
220928, 과실류, 포도, 거봉, 1, 0, 550.0
220928, 수실류, 대추, 기타대추, 1, 0, 875.0
220928, 조미채소류, 풋고추, 녹광, 1, 0, 238.0
220928, 과채류, 오이, 취청, 1, 0, 450.0
220928, 과실류, 포도, 기타포도, 1, 0, 650.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 700.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 246.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 503.33334
220928, 과실류, 단감, 송본, 1, 0, 220.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 480.0
220928, 과실류, 자두, 추희, 1, 0, 360.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 조미채소류, 대파, 대파, 1, 0, 164.16667
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 633.3333
220928, 양채류, 치커리, 치커리, 1, 0, 50.0
220928, 과일과채류, 메론, 네트계, 1, 0, 250.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 조미채소류, 대파, 대파, 1, 0, 135.0
220928, 산채류, 마, 생장마, 1, 0, 66.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 775.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 280.0
220928, 과채류, 오이, 노각, 1, 0, 243.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 425.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1050.0
220928, 엽경채류, 쑥갓, 쑥갓, 1, 0, 150.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 225.0
220928, 엽경채류, 배추, 기타배추, 1, 0, 220.83333
220928, 과채류, 호박, 애호박, 1, 0, 262.5
220928, 과실류, 감귤, 하우스감귤, 1, 0, 500.0
220928, 과실류, 떫은감, 반시, 1, 0, 282.22223
220928, 과실류, 단감, 상서, 1, 0, 410.0
220928, 양채류, 치커리, 치커리, 1, 0, 125.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 320.0
220928, 과실류, 떫은감, 약시, 1, 0, 280.0
220928, 서류, 감자, 기타감자, 1, 0, 187.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 과실류, 포도, 기타포도, 1, 0, 600.0
220928, 과실류, 떫은감, 약시, 1, 0, 192.0
220928, 과채류, 호박, 풋호박, 1, 0, 180.0
220928, 엽경채류, 근대, 적근대, 1, 0, 375.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 520.0
220928, 엽경채류, 상추, 적포기, 1, 0, 390.0
220928, 과실류, 자두, 추희, 1, 0, 270.0
220928, 엽경채류, 상추, 적포기, 1, 0, 390.0
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 610.0
220928, 과실류, 단감, 기타단감, 1, 0, 312.0
220928, 과실류, 단감, 상서, 1, 0, 243.0
220928, 과실류, 단감, 상서, 1, 0, 241.0
220928, 서류, 감자, 수미, 1, 0, 22.0
220928, 과실류, 떫은감, 연시, 1, 0, 320.0
220928, 과실류, 사과, 홍로, 1, 0, 152.0
220928, 서류, 고구마, 밤고구마, 1, 0, 65.0
220928, 과실류, 단감, 서촌, 1, 0, 100.0
220928, 수실류, 떫은감, 약시, 1, 0, 200.0
220928, 서류, 고구마, 기타, 1, 0, 105.0
220928, 조미채소류, 풋고추, 녹광, 1, 0, 100.0
220928, 과실류, 단감, 부유, 1, 0, 350.0
220928, 엽경채류, 상추, 청상추, 1, 0, 175.0
220928, 근채류, 무, 기타무, 1, 0, 75.0
220928, 근채류, 무, 무말랭이, 1, 0, 287.5
220928, 과실류, 사과, 시나노스위트, 1, 0, 236.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 690.0
220928, 서류, 고구마, 기타, 1, 0, 186.0
220928, 과실류, 사과, 아오리, 1, 0, 230.0
220928, 과일과채류, 참외, 기타참외, 1, 0, 210.0
220928, 과실류, 단감, 기타단감, 1, 0, 145.0
220928, 과실류, 사과, 기타사과, 1, 0, 312.0
220928, 과실류, 단감, 송본, 1, 0, 280.0
220928, 과실류, 단감, 상서, 1, 0, 200.0
220928, 근채류, 토란, 토란, 1, 0, 77.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 과채류, 오이, 취청, 1, 0, 269.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 450.0
220928, 농림가공, 통조림, 기타통조림, 1, 0, 144.44444
220928, 과실류, 단감, 기타단감, 1, 0, 85.0
220928, 농림가공, 곡물제조, 두부, 1, 0, 293.33334
220928, 과실류, 단감, 상서, 1, 0, 190.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 315.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 과채류, 호박, 애호박, 1, 0, 168.75
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 600.0
220928, 과실류, 단감, 송본, 1, 0, 410.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 200.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 228.0
220928, 산채류, 더덕, 더덕, 1, 0, 1380.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 557.5
220928, 조미채소류, 풋고추, 롱그린, 1, 0, 430.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 과일과채류, 메론, 네트계, 1, 0, 362.5
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 550.0
220928, 산채류, 더덕, 더덕, 1, 0, 1300.0
220928, 버섯류, 느타리버섯, 애느타리, 1, 0, 300.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 590.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1036.6666
220928, 과일과채류, 수박, 수박, 1, 0, 146.15384
220928, 과일과채류, 토마토, 토마토, 1, 0, 520.0
220928, 과채류, 호박, 애호박, 1, 0, 262.5
220928, 조미채소류, 풋고추, 광복, 1, 0, 80.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 과일과채류, 토마토, 토마토, 1, 0, 280.0
220928, 서류, 고구마, 호박고구마, 1, 0, 80.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 과실류, 무화과, 무화과, 1, 0, 375.0
220928, 과채류, 호박, 풋호박, 1, 0, 220.83333
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 620.0
220928, 신선 해조류, 미역, 줄기미역, 1, 0, 146.66667
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 137.5
220928, 조미채소류, 양파, 양파, 1, 0, 143.33333
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 과채류, 오이, 가시오이, 1, 0, 173.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 483.33334
220928, 조미채소류, 풋고추, 청양, 1, 0, 330.35715
220928, 서류, 고구마, 밤고구마, 1, 0, 80.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 280.0
220928, 과채류, 오이, 취청, 1, 0, 155.0
220928, 두류, 강낭콩, 강낭콩, 1, 0, 622.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 520.0
220928, 근채류, 무, 고냉지무, 1, 0, 141.5
220928, 과실류, 포도, 거봉, 1, 0, 450.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 503.33334
220928, 조미채소류, 대파, 대파, 1, 0, 160.83333
220928, 엽경채류, 상추, 적상추, 1, 0, 280.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 283.33334
220928, 과채류, 호박, 애호박, 1, 0, 176.25
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과채류, 호박, 애호박, 1, 0, 197.5
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 366.66666
220928, 과실류, 무화과, 무화과, 1, 0, 375.0
220928, 엽경채류, 열무, 열무, 1, 0, 112.5
220928, 과실류, 감귤, 하우스감귤, 1, 0, 420.0
220928, 과채류, 오이, 백다다기, 1, 0, 460.0
220928, 수실류, 대추, 대추, 1, 0, 600.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1550.0
220928, 엽경채류, 쑥갓, 쑥갓, 1, 0, 150.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 460.0
220928, 과일과채류, 메론, 네트계, 1, 0, 275.0
220928, 서류, 고구마, 기타, 1, 0, 83.0
220928, 과실류, 포도, 거봉, 1, 0, 325.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 340.0
220928, 조미채소류, 풋고추, 청초, 1, 0, 142.5
220928, 과실류, 떫은감, 약시, 1, 0, 60.0
220928, 과실류, 단감, 기타단감, 1, 0, 160.0
220928, 엽경채류, 근대, 적근대, 1, 0, 360.0
220928, 과실류, 단감, 상서, 1, 0, 130.0
220928, 과실류, 사과, 홍로, 1, 0, 80.0
220928, 과실류, 단감, 상서, 1, 0, 466.0
220928, 과실류, 떫은감, 연시, 1, 0, 225.0
220928, 과실류, 단감, 기타단감, 1, 0, 388.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 220.0
220928, 과실류, 단감, 상서, 1, 0, 318.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 250.0
220928, 과실류, 단감, 상서, 1, 0, 243.0
220928, 수실류, 대추, 기타대추, 1, 0, 300.0
220928, 과실류, 단감, 상서, 1, 0, 241.0
220928, 과실류, 포도, 기타포도, 1, 0, 700.0
220928, 과실류, 떫은감, 약시, 1, 0, 232.0
220928, 과실류, 사과, 애기사과, 1, 0, 300.0
220928, 과실류, 떫은감, 약시, 1, 0, 440.0
220928, 약용작물류, 참당귀, 당귀잎, 1, 0, 2020.0
220928, 과실류, 사과, 홍로, 1, 0, 200.0
220928, 과실류, 떫은감, 반시, 1, 0, 264.0
220928, 조미채소류, 대파, 깐대파, 1, 0, 105.0
220928, 근채류, 토란, 토란, 1, 0, 77.0
220928, 근채류, 토란, 토란, 1, 0, 77.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과일과채류, 메론, 네트계, 1, 0, 320.0
220928, 과실류, 사과, 홍로, 1, 0, 190.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 73.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 102.0
220928, 조미채소류, 대파, 대파, 1, 0, 272.22223
220928, 농림가공, 곡물제조, 두부, 1, 0, 293.33334
220928, 과실류, 단감, 부유, 1, 0, 400.0
220928, 수실류, 떫은감, 약시, 1, 0, 180.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 서류, 고구마, 기타, 1, 0, 180.0
220928, 과일과채류, 메론, 네트계, 1, 0, 185.71428
220928, 과실류, 떫은감, 연시, 1, 0, 130.0
220928, 서류, 고구마, 밤고구마, 1, 0, 52.0
220928, 과일과채류, 메론, 네트계, 1, 0, 185.71428
220928, 과실류, 감귤, 극조생감귤, 1, 0, 310.0
220928, 과일과채류, 메론, 네트계, 1, 0, 185.71428
220928, 과실류, 사과, 양광, 1, 0, 270.0
220928, 과일과채류, 메론, 네트계, 1, 0, 171.42857
220928, 신선 해조류, 미역, 줄기미역, 1, 0, 242.85715
220928, 과일과채류, 메론, 네트계, 1, 0, 171.42857
220928, 농림가공, 곡물제조, 연두부, 1, 0, 121.666664
220928, 엽경채류, 상추, 청상추, 1, 0, 540.0
220928, 과실류, 단감, 기타단감, 1, 0, 152.0
220928, 과채류, 호박, 애호박, 1, 0, 128.75
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 400.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1062.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 815.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 212.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1025.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 212.0
220928, 조미채소류, 풋고추, 광복, 1, 0, 80.0
220928, 과실류, 포도, 거봉, 1, 0, 250.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 800.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 475.0
220928, 엽경채류, 상추, 청상추, 1, 0, 475.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 418.0
220928, 과채류, 오이, 백다다기, 1, 0, 340.0
220928, 과실류, 떫은감, 약시, 1, 0, 82.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1055.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 과실류, 단감, 서촌, 1, 0, 110.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 700.0
220928, 과채류, 호박, 풋호박, 1, 0, 160.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 433.33334
220928, 과실류, 포도, 거봉, 1, 0, 300.0
220928, 과실류, 떫은감, 반시, 1, 0, 288.8889
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 400.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 420.0
220928, 서류, 감자, 기타감자, 1, 0, 175.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 440.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 서류, 감자, 수미, 1, 0, 180.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 650.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 450.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 225.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 260.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 137.5
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 130.0
220928, 과실류, 단감, 상서, 1, 0, 440.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 40.0
220928, 과실류, 떫은감, 연시, 1, 0, 287.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 수실류, 대추, 대추, 1, 0, 850.0
220928, 서류, 감자, 기타감자, 1, 0, 35.0
220928, 과채류, 오이, 가시오이, 1, 0, 185.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 475.0
220928, 과실류, 무화과, 무화과, 1, 0, 375.0
220928, 조미채소류, 풋고추, 청초, 1, 0, 142.5
220928, 서류, 고구마, 호박고구마, 1, 0, 80.0
220928, 과실류, 자두, 추희, 1, 0, 400.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 400.0
220928, 엽경채류, 열무, 열무, 1, 0, 100.0
220928, 엽경채류, 깻잎, 기타깻잎, 1, 0, 483.33334
220928, 과실류, 포도, 샤인마스캇, 1, 0, 475.0
220928, 근채류, 무, 고냉지무, 1, 0, 141.5
220928, 과실류, 감귤, 하우스감귤, 1, 0, 420.0
220928, 농림가공, 전분 및 사료제조, 도토리묵, 1, 0, 141.66667
220928, 엽경채류, 열무, 열무, 1, 0, 112.5
220928, 과일과채류, 참외, 기타참외, 1, 0, 200.0
220928, 수실류, 대추, 기타대추, 1, 0, 625.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 325.0
220928, 버섯류, 느타리버섯, 애느타리, 1, 0, 290.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 137.5
220928, 과실류, 떫은감, 대봉시, 1, 0, 80.0
220928, 과실류, 단감, 송본, 1, 0, 220.0
220928, 서류, 감자, 수미, 1, 0, 140.0
220928, 산채류, 마, 생장마, 1, 0, 157.5
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 550.0
220928, 과채류, 오이, 백다다기, 1, 0, 140.0
220928, 엽경채류, 고추잎, 생고추잎, 1, 0, 400.0
220928, 엽경채류, 상추, 기타상추, 1, 0, 223.25581
220928, 과채류, 호박, 애호박, 1, 0, 212.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 140.0
220928, 과일과채류, 수박, 수박, 1, 0, 176.92308
220928, 과실류, 포도, 샤인마스캇, 1, 0, 430.0
220928, 과채류, 호박, 애호박, 1, 0, 281.25
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 896.6667
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 600.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 500.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 416.66666
220928, 과채류, 호박, 풋호박, 1, 0, 125.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 503.33334
220928, 서류, 고구마, 호박고구마, 1, 0, 80.0
220928, 수실류, 대추, 대추, 1, 0, 750.0
220928, 조미채소류, 생강, 구강, 1, 0, 28.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 엽경채류, 부추, 기타부추, 1, 0, 284.0
220928, 과실류, 사과, 홍로, 1, 0, 190.0
220928, 과일과채류, 메론, 네트계, 1, 0, 171.42857
220928, 과실류, 사과, 아오리, 1, 0, 220.0
220928, 과일과채류, 메론, 네트계, 1, 0, 171.42857
220928, 서류, 고구마, 밤고구마, 1, 0, 52.0
220928, 엽경채류, 상추, 청상추, 1, 0, 540.0
220928, 과실류, 사과, 기타사과, 1, 0, 330.0
220928, 과실류, 포도, 기타포도, 1, 0, 715.0
220928, 과실류, 떫은감, 반시, 1, 0, 292.0
220928, 과실류, 단감, 기타단감, 1, 0, 120.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 453.33334
220928, 서류, 감자, 기타감자, 1, 0, 51.5
220928, 양채류, 브로코리(녹색꽃양배추), 뉴그린, 1, 0, 369.25
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 433.33334
220928, 과실류, 단감, 상서, 1, 0, 185.0
220928, 과실류, 자두, 추희, 1, 0, 360.0
220928, 과일과채류, 메론, 네트계, 1, 0, 313.75
220928, 조미채소류, 대파, 대파, 1, 0, 120.0
220928, 수실류, 대추, 기타대추, 1, 0, 550.0
220928, 과실류, 사과, 기타사과, 1, 0, 322.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 과실류, 떫은감, 약시, 1, 0, 240.0
220928, 과실류, 떫은감, 약시, 1, 0, 244.0
220928, 과실류, 사과, 홍로, 1, 0, 200.0
220928, 과실류, 떫은감, 약시, 1, 0, 280.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1380.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 316.66666
220928, 과실류, 떫은감, 약시, 1, 0, 280.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 260.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 316.66666
220928, 과실류, 사과, 홍로, 1, 0, 155.0
220928, 과실류, 포도, 거봉, 1, 0, 325.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 185.0
220928, 근채류, 무, 기타무, 1, 0, 105.0
220928, 과실류, 사과, 홍로, 1, 0, 169.0
220928, 근채류, 무, 봄무, 1, 0, 96.0
220928, 과채류, 호박, 애호박, 1, 0, 250.0
220928, 과실류, 포도, 기타포도, 1, 0, 525.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220928, 과일과채류, 메론, 네트계, 1, 0, 350.0
220928, 엽경채류, 상추, 적상추, 1, 0, 590.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 660.0
220928, 신선 해조류, 다시마, 기타, 1, 0, 125.0
220928, 과실류, 단감, 서촌, 1, 0, 130.0
220928, 조미채소류, 생강, 구강, 1, 0, 28.0
220928, 농림가공, 곡물제조, 순두부, 1, 0, 91.25
220928, 서류, 감자, 기타감자, 1, 0, 30.5
220928, 과채류, 호박, 늙은호박, 1, 0, 63.636364
220928, 과실류, 포도, 샤인마스캇, 1, 0, 330.0
220928, 엽경채류, 상추, 적상추, 1, 0, 590.0
220928, 과실류, 단감, 상서, 1, 0, 286.0
